all_riders,rider_class,stage,points,stage_class
Carlos Rodríguez,Climber,X15,20,Hills
Carlos Rodríguez,Climber,X16,36,Mount
Carlos Rodríguez,Climber,X17,11,Flat
Carlos Rodríguez,Climber,X18,0,Mount
Carlos Rodríguez,Climber,X19,0,Mount
Carlos Rodríguez,Climber,X20,0,Hills
Carlos Rodríguez,Climber,X21,0,Flat
Enric Mas,Climber,X1,0,Flat
Enric Mas,Climber,X2,55,Hills
Enric Mas,Climber,X3,15,Flat
Enric Mas,Climber,X4,31,Hills
Enric Mas,Climber,X6,20,Hills
Enric Mas,Climber,X7,16,Hills
Enric Mas,Climber,X8,8,Flat
Enric Mas,Climber,X9,8,Flat
Enric Mas,Climber,X10,8,Hills
Enric Mas,Climber,X11,8,Hills
Enric Mas,Climber,X12,6,Mount
Enric Mas,Climber,X14,0,Mount
Enric Mas,Climber,X15,1,Hills
Enric Mas,Climber,X16,108,Mount
Enric Mas,Climber,X17,3,Flat
Enric Mas,Climber,X18,0,Mount
Enric Mas,Climber,X19,0,Mount
Enric Mas,Climber,X20,0,Hills
Enric Mas,Climber,X21,0,Flat
Tim Merlier,Sprinter,X1,0,Flat
Tim Merlier,Sprinter,X2,5,Hills
Tim Merlier,Sprinter,X3,226,Flat
Tim Merlier,Sprinter,X4,6,Hills
Tim Merlier,Sprinter,X6,4,Hills
Tim Merlier,Sprinter,X7,4,Hills
Tim Merlier,Sprinter,X8,21,Flat
Tim Merlier,Sprinter,X9,234,Flat
Tim Merlier,Sprinter,X10,6,Hills
Tim Merlier,Sprinter,X11,4,Hills
Tim Merlier,Sprinter,X12,4,Mount
Tim Merlier,Sprinter,X14,2,Mount
Tim Merlier,Sprinter,X15,2,Hills
Tim Merlier,Sprinter,X16,12,Mount
Tim Merlier,Sprinter,X17,5,Flat
Tim Merlier,Sprinter,X18,2,Mount
Tim Merlier,Sprinter,X19,1,Mount
Tim Merlier,Sprinter,X20,3,Hills
Tim Merlier,Sprinter,X21,0,Flat
Adam Yates,All Rounder,X1,0,Flat
Adam Yates,All Rounder,X2,8,Hills
Adam Yates,All Rounder,X3,4,Flat
Adam Yates,All Rounder,X4,14,Hills
Adam Yates,All Rounder,X6,8,Hills
Adam Yates,All Rounder,X7,20,Hills
Adam Yates,All Rounder,X8,12,Flat
Adam Yates,All Rounder,X9,12,Flat
Adam Yates,All Rounder,X10,8,Hills
Adam Yates,All Rounder,X11,8,Hills
Adam Yates,All Rounder,X12,20,Mount
Adam Yates,All Rounder,X14,47,Mount
Adam Yates,All Rounder,X15,20,Hills
Adam Yates,All Rounder,X16,24,Mount
Adam Yates,All Rounder,X17,12,Flat
Adam Yates,All Rounder,X18,99,Mount
Adam Yates,All Rounder,X19,16,Mount
Adam Yates,All Rounder,X20,12,Hills
Adam Yates,All Rounder,X21,12,Flat
Tobias Halland Johannessen,All Rounder,X1,4,Flat
Tobias Halland Johannessen,All Rounder,X2,12,Hills
Tobias Halland Johannessen,All Rounder,X3,13,Flat
Tobias Halland Johannessen,All Rounder,X4,35,Hills
Tobias Halland Johannessen,All Rounder,X6,6,Hills
Tobias Halland Johannessen,All Rounder,X7,69,Hills
Tobias Halland Johannessen,All Rounder,X8,9,Flat
Tobias Halland Johannessen,All Rounder,X9,9,Flat
Tobias Halland Johannessen,All Rounder,X10,36,Hills
Tobias Halland Johannessen,All Rounder,X11,19,Hills
Tobias Halland Johannessen,All Rounder,X12,168,Mount
Tobias Halland Johannessen,All Rounder,X14,87,Mount
Tobias Halland Johannessen,All Rounder,X15,13,Hills
Tobias Halland Johannessen,All Rounder,X16,13,Mount
Tobias Halland Johannessen,All Rounder,X17,13,Flat
Tobias Halland Johannessen,All Rounder,X18,83,Mount
Tobias Halland Johannessen,All Rounder,X19,114,Mount
Tobias Halland Johannessen,All Rounder,X20,15,Hills
Tobias Halland Johannessen,All Rounder,X21,21,Flat
